,Activity_Type,Date,Title,Distance,Calories,Time,Avg_HR,Max_HR,Aerobic_TE,Avg_Speed,Max_Speed,Total_Ascent,Total_Descent,Avg_Cadence,Max_Cadence,Normalized_Power,Training_Stress_Score,Max_Avg_Power(20min),Avg_Power,Max_Power,Total_Strokes,Min_Temp,Moving_Time,Elapsed_Time,Min_Elevation,Max_Elevation,Bike
0,Gravel Cycling,2023-05-29 17:32:20,Prague Gravel/Unpaved Cycling,6.49,221.0,0 days 00:19:57,0,0,0.1,19.5,35.7,56,46,0,0,0,0.0,0,0,0,0,22.0,0 days 00:19:31,0 days 00:24:52,196,249,Bergamont
1,Gravel Cycling,2023-05-27 10:47:37,Prague Gravel/Unpaved Cycling,62.67,1731.0,0 days 02:42:25,146,181,4.3,23.2,52.4,695,674,0,0,0,0.0,0,0,0,0,17.0,0 days 02:41:35,0 days 04:10:26,196,459,Bergamont
2,Gravel Cycling,2023-05-20 13:07:19,Prague Gravel/Unpaved Cycling,75.79,1794.0,0 days 03:19:10,144,181,4.5,22.8,51.4,653,652,0,0,0,0.0,0,0,0,0,20.0,0 days 03:18:24,0 days 03:31:48,198,438,Bergamont
3,Gravel Cycling,2023-05-08 10:35:43,Rovensko pod Troskami Gravel/Unpaved Cycling,43.47,189.0,0 days 02:02:28,0,0,0.1,21.3,51.5,788,792,0,0,0,0.0,0,0,0,0,13.0,0 days 02:02:02,0 days 02:20:51,240,458,Bergamont
4,Gravel Cycling,2023-05-01 10:54:36,Rovensko pod Troskami Gravel/Unpaved Cycling,45.35,1943.0,0 days 02:04:52,0,0,0.1,21.8,63.2,865,848,0,0,0,0.0,0,0,0,0,13.0,0 days 02:04:42,0 days 02:07:13,294,747,Bergamont
5,Gravel Cycling,2023-04-30 12:22:50,Radimovice Gravel/Unpaved Cycling,28.16,8610.0,0 days 01:08:38,155,180,4.4,24.6,50.0,407,411,0,0,0,0.0,0,0,0,0,14.0,0 days 01:08:23,0 days 01:35:29,246,400,Bergamont
6,Gravel Cycling,2023-04-30 10:37:46,Rovensko pod Troskami Gravel/Unpaved Cycling,28.41,9070.0,0 days 01:16:30,152,180,4.0,22.3,47.1,387,378,0,0,0,0.0,0,0,0,0,10.0,0 days 01:16:01,0 days 01:25:05,234,386,Bergamont
7,Gravel Cycling,2023-04-16 15:59:42,Prague Gravel/Unpaved Cycling,44.58,9070.0,0 days 01:49:21,131,165,3.1,24.5,43.8,314,318,0,0,0,0.0,0,0,0,0,13.0,0 days 01:48:57,0 days 01:57:53,194,381,Bergamont
8,Road Cycling,2023-04-08 02:54:44,Unfinished Everesting Mendola,183.88,6479.0,0 days 11:41:23,140,172,2.2,15.7,58.3,6017,5872,66,148,0,0.0,0,0,0,38562,0.0,0 days 11:41:06,0 days 13:29:56,405,1378,Roubaix
9,Road Cycling,2023-04-08 02:38:11,Caldaro sulla Strada del Vino Road Cycling,5.35,1170.0,0 days 00:13:57,123,161,1.5,23.0,44.6,480,208,64,103,0,0.0,0,0,0,500,7.0,0 days 00:13:54,0 days 00:15:23,407,573,Roubaix
10,Road Cycling,2023-04-01 13:19:27,Prague Road Cycling,59.24,1431.0,0 days 02:22:51,147,175,4.1,24.9,50.7,7300,736,81,115,0,0.0,0,0,0,10172,9.0,0 days 02:22:34,0 days 02:25:21,189,379,Roubaix
11,Virtual Cycling,2023-03-30 18:15:35,Veluwe Touring,34.11,7430.0,0 days 01:07:59,0,0,0.0,30.1,53.3,3330,200,74,83,197,66.2,209,182,397,0,0.0,0 days 01:07:58,0 days 01:07:59,49,135,Tacx
12,Indoor Cycling,2023-03-27 19:03:16,Cyclinglab 20-minute test - FTP Test,18.88,6160.0,0 days 00:45:00,160,181,4.4,25.2,44.5,4350,0,76,105,255,55.0,271,228,650,0,0.0,0 days 00:45:00,0 days 00:45:00,0,0,Tacx
13,Virtual Cycling,2023-03-27 18:32:29,Grand Départ 2015 Utrecht - Lars Boom,14.8,2800.0,0 days 00:28:48,131,144,2.4,30.8,40.2,340,17,76,84,165,14.7,168,163,309,0,0.0,0 days 00:28:46,0 days 00:28:48,8,17,Tacx
14,Gravel Cycling,2023-03-25 11:28:17,Prague Gravel/Unpaved Cycling,42.78,1005.0,0 days 01:57:20,136,174,3.4,21.9,44.5,3240,295,0,0,0,0.0,0,0,0,0,10.0,0 days 01:56:29,0 days 02:21:39,1900,3710,Bergamont
15,eBiking,2023-03-23 15:52:52,Prague Cycling,7.54,2650.0,0 days 00:33:38,125,151,0.0,13.5,32.9,280,32,0,0,0,0.0,0,0,0,0,0.0,0 days 00:28:30,0 days 00:33:38,1900,2090,Elops
16,Virtual Cycling,2023-03-21 19:37:17,Eleven Cities Tour - Stage 5,0.19,30.0,0 days 00:04:49,125,126,0.0,23.9,24.9,10,0,70,73,122,0.1,0,126,149,0,0.0,0 days 00:04:49,0 days 00:04:49,-30,-20,Tacx
17,Virtual Cycling,2023-03-21 18:04:55,Eleven Cities Tour - Stage 5,49.22,1013.0,0 days 01:31:33,143,160,3.8,32.3,44.8,960,43,82,92,190,61.8,196,184,389,0,0.0,0 days 01:31:32,0 days 01:31:33,-70,90,Tacx
18,Virtual Cycling,2023-03-16 17:40:31,Eleven Cities Tour - Stage 4,43.2,9010.0,0 days 01:20:28,147,165,4.2,32.2,43.4,720,22,84,98,196,58.0,224,187,367,0,0.0,0 days 01:20:27,0 days 01:20:28,-90,40,Tacx
19,Virtual Cycling,2023-03-14 17:40:48,Eleven Cities Tour - Stage 3,47.73,1065.0,0 days 01:25:10,161,174,5.0,33.6,50.5,790,18,88,101,215,74.1,232,209,513,0,0.0,0 days 01:25:09,0 days 01:25:10,0,180,Tacx
20,Virtual Cycling,2023-03-12 16:46:26,Eleven Cities Tour - Stage 2,42.75,8320.0,0 days 01:22:27,142,153,3.3,31.1,36.2,530,5,86,97,170,44.8,176,168,328,0,0.0,0 days 01:22:22,0 days 01:22:27,80,130,Tacx
21,Virtual Cycling,2023-03-12 16:29:42,Eleven Cities Tour - Stage 2,8.09,1570.0,0 days 00:15:39,139,150,2.1,31.0,33.2,100,3,78,90,172,8.7,0,168,201,0,0.0,0 days 00:15:38,0 days 00:15:39,80,120,Tacx
22,Virtual Cycling,2023-03-11 18:18:23,Eleven Cities Tour - Stage 1,8.99,1910.0,0 days 00:16:22,151,157,2.5,33.0,35.1,100,1,87,95,200,12.2,0,195,289,0,0.0,0 days 00:16:21,0 days 00:16:22,90,100,Tacx
23,Virtual Cycling,2023-03-11 17:47:27,Eleven Cities Tour - Stage 1,16.79,3690.0,0 days 00:30:19,150,165,3.2,33.2,40.6,300,7,92,102,210,25.1,210,203,384,0,0.0,0 days 00:30:19,0 days 00:30:19,80,140,Tacx
24,Virtual Cycling,2023-03-11 17:44:12,Eleven Cities Tour - Stage 1,1.38,250.0,0 days 00:08:56,132,139,0.5,30.9,32.7,10,2,74,92,174,1.5,0,159,264,0,0.0,0 days 00:02:41,0 days 00:08:56,90,110,Tacx
25,Virtual Cycling,2023-03-11 17:21:50,Eleven Cities Tour - Stage 1,11.84,2440.0,0 days 00:21:41,144,152,2.6,32.8,36.4,180,2,88,100,194,15.3,195,188,421,0,0.0,0 days 00:21:40,0 days 00:21:41,80,110,Tacx
26,Virtual Cycling,2023-03-11 17:06:47,Eleven Cities Tour - Stage 1,7.17,1280.0,0 days 00:13:09,132,150,2.0,32.7,36.4,70,3,73,94,178,7.8,0,163,338,0,0.0,0 days 00:13:09,0 days 00:13:09,70,100,Tacx
27,Virtual Cycling,2023-03-09 17:11:38,Alpine Classic 5 - l'Alpe d'Huez,29.55,1285.0,0 days 01:35:55,153,167,5.0,18.5,70.2,1213,492,73,89,235,99.3,256,224,363,0,0.0,0 days 01:35:51,0 days 01:35:55,7340,1855,Tacx
28,Virtual Cycling,2023-03-07 17:48:14,Alpine Classic 4 - Col du Galibier,50.96,1508.0,0 days 01:59:19,154,170,5.0,25.6,71.8,1294,1582,76,91,230,118.6,254,211,376,0,0.0,0 days 01:59:15,0 days 01:59:19,111,2642,Tacx
29,Virtual Cycling,2023-03-04 14:05:49,Alpine Classic 3 - Col du Telegraphe,19.02,835.0,0 days 01:00:26,157,171,4.7,18.9,61.6,792,120,74,90,243,67.1,269,230,333,0,0.0,0 days 01:00:26,0 days 01:00:26,796,1577,Tacx
30,Virtual Cycling,2023-03-03 17:33:26,Alpine Classic 2 - Lacets de Montvernier,46.39,1002.0,0 days 01:23:53,149,174,4.6,33.2,82.3,638,1728,75,91,221,76.6,262,199,391,0,0.0,0 days 01:23:52,0 days 01:23:53,561,1924,Tacx
31,Virtual Cycling,2023-03-02 18:45:20,Alpine Classic 1 – Col du Glandon,36.48,1574.0,0 days 01:59:27,158,175,5.0,18.3,76.2,1434,219,74,93,234,122.4,258,220,377,0,0.0,0 days 01:59:24,0 days 01:59:27,746,1932,Tacx
32,Virtual Cycling,2023-02-27 18:04:52,"Noordzeeroute, Katwijk",33.53,694.0,0 days 01:03:42,147,168,3.6,31.6,44.8,167,63,82,94,187,42.0,192,182,413,0,0.0,0 days 01:03:42,0 days 01:03:42,20,41,Tacx
33,Virtual Cycling,2023-02-26 15:27:06,"Veluwe, Posbank",38.55,929.0,0 days 01:16:29,148,167,4.2,30.2,63.2,510,461,80,98,221,69.8,221,203,413,0,0.0,0 days 01:16:28,0 days 01:16:29,40,136,Tacx
34,Virtual Cycling,2023-02-23 17:37:16,Amsterdam City Trip,34.96,694.0,0 days 01:07:19,140,153,3.3,31.2,37.6,48,9,83,95,174,38.1,178,172,364,0,0.0,0 days 01:07:18,0 days 01:07:19,0,9,Tacx
35,eBiking,2023-02-23 17:03:41,Prague Cycling,3.48,121.0,0 days 00:18:02,113,133,0.0,11.6,85.0,4,71,0,0,0,0.0,0,0,0,0,0.0,0 days 00:14:54,0 days 00:18:02,208,278,Elops
36,Virtual Cycling,2023-02-21 18:06:53,Edam Tour,37.41,739.0,0 days 01:12:09,143,157,3.0,31.1,41.4,45,18,83,98,173,40.6,180,171,411,0,0.0,0 days 01:12:07,0 days 01:12:09,8,17,Tacx
37,Virtual Cycling,2023-02-19 14:42:24,"Lombardy, Muro di Sormano",16.89,632.0,0 days 00:50:37,156,169,3.8,20.0,69.3,610,506,74,90,224,47.8,239,208,292,0,0.0,0 days 00:50:37,0 days 00:50:37,519,1125,Tacx
38,Virtual Cycling,2023-02-19 13:37:25,Punta Veleno - Lago di Garda,9.51,926.0,0 days 01:02:25,163,173,4.9,9.1,63.6,1021,28,73,100,252,74.2,258,248,333,0,0.0,0 days 01:02:24,0 days 01:02:25,138,1157,Tacx
39,Virtual Cycling,2023-02-16 17:29:05,"Lombardy, Madonna del Ghisallo",26.65,912.0,0 days 01:10:56,155,175,4.5,22.5,52.4,678,109,75,93,233,72.3,265,215,402,0,0.0,0 days 01:10:54,0 days 01:10:56,205,755,Tacx
