,Activity_Type,Date,Title,Distance,Calories,Time,Avg_HR,Max_HR,Aerobic_TE,Avg_Speed,Max_Speed,Total_Ascent,Total_Descent,Avg_Cadence,Max_Cadence,Normalized_Power,Training_Stress_Score,Max_Avg_Power(20min),Avg_Power,Max_Power,Total_Strokes,Min_Temp,Moving_Time,Elapsed_Time,Min_Elevation,Max_Elevation,Bike
0,Gravel Cycling,2022-10-14 14:45:00,Prague Gravel/Unpaved Cycling,73.52,1759.0,0 days 03:12:44,133,175,3.3,22.9,48.9,460,440,0,0,0,0.0,0,0,0,0,12.0,0 days 03:11:39,0 days 03:33:48,185,387,Bergamont
1,Gravel Cycling,2022-10-08 11:47:00,just an autumn easy spin,41.9,906.0,0 days 01:42:42,126,169,2.5,24.5,44.2,166,158,0,0,0,0.0,0,0,0,0,14.0,0 days 01:42:30,0 days 01:46:00,194,255,Bergamont
2,Cycling,2022-10-05 11:24:00,Prague Cycling,13.75,328.0,0 days 00:37:29,125,143,0.0,22.0,43.1,43,39,0,0,0,0.0,0,0,0,0,0.0,0 days 00:37:23,0 days 00:37:29,185,208,unknown
3,Cycling,2022-10-05 09:51:00,Prague Cycling,13.45,415.0,0 days 00:40:12,133,153,0.0,20.1,34.3,51,60,0,0,0,0.0,0,0,0,0,0.0,0 days 00:39:02,0 days 00:40:12,188,210,unknown
4,Gravel Cycling,2022-10-01 10:09:00,Gravel series Ralsko,58.96,2657.0,0 days 03:03:06,167,186,5.0,19.3,53.0,681,658,0,0,0,0.0,0,0,0,0,8.0,0 days 03:02:28,0 days 03:08:45,266,406,Bergamont
5,Gravel Cycling,2022-09-25 12:22:00,Prague Gravel/Unpaved Cycling,41.42,875.0,0 days 01:57:34,114,149,2.0,21.1,37.9,108,105,0,0,0,0.0,0,0,0,0,16.0,0 days 01:57:02,0 days 03:04:31,197,219,Bergamont
6,Gravel Cycling,2022-09-23 15:30:00,Prague Gravel/Unpaved Cycling,53.22,1353.0,0 days 02:10:29,140,171,3.6,24.5,50.5,364,354,0,0,0,0.0,0,0,0,0,12.0,0 days 02:10:04,0 days 02:23:13,198,393,Bergamont
7,Gravel Cycling,2022-09-16 10:30:00,Lov VKP a Francouzská cyklojízda,104.1,3339.0,0 days 05:03:04,149,181,5.0,20.6,55.0,1664,1662,0,0,0,0.0,0,0,0,0,12.0,0 days 05:02:00,0 days 05:51:51,194,509,Bergamont
8,Gravel Cycling,2022-09-04 14:07:00,Praha - Kotce,104.8,2744.0,0 days 04:11:44,150,183,5.0,25.0,51.0,755,929,0,0,0,0.0,0,0,0,0,20.0,0 days 04:11:00,0 days 04:37:56,170,382,Bergamont
9,Gravel Cycling,2022-09-03 14:33:00,Lomnice s Karin,24.86,688.0,0 days 01:23:07,122,159,2.4,17.9,52.2,403,404,0,0,0,0.0,0,0,0,0,18.0,0 days 01:22:39,0 days 01:38:46,294,558,Bergamont
