Year,Month,Month_num,Distance
2022,October,10,41.9
2022,October,10,13.75
2022,October,10,13.45
2022,October,10,58.96
2022,September,9,41.42
2022,September,9,53.22
2022,September,9,104.1
2022,September,9,104.8
2022,September,9,24.86
2022,August,8,101.84
2022,August,8,61.69
2022,August,8,40.76
2022,August,8,104.26
2022,August,8,40.23
2022,August,8,40.16
2022,August,8,17.86
2022,July,7,62.09
2022,July,7,48.13
2022,July,7,35.34
2022,July,7,26.07
2022,July,7,104.76
2022,July,7,47.69
2022,July,7,27.68
2022,July,7,31.64
2022,July,7,36.11
2022,July,7,36.12
2022,July,7,72.82
2022,May,5,59.72
2022,May,5,86.89
2022,May,5,44.97
2022,May,5,13.3
2022,May,5,13.12
2022,May,5,46.18
2022,May,5,7.4
2022,April,4,163.07
2022,April,4,58.08
2022,April,4,44.99
2022,April,4,59.26
2022,April,4,35.7
2022,April,4,35.11
2022,April,4,0.0
2022,April,4,47.13
2022,April,4,77.75
2022,March,3,19.4
2022,March,3,10.02
2022,March,3,58.22
2022,March,3,30.3
2022,March,3,54.04
2022,March,3,36.75
2022,March,3,36.38
2022,March,3,38.04
2022,March,3,48.39
2022,March,3,36.62
2022,March,3,41.08
2022,March,3,45.13
2022,March,3,44.61
2022,March,3,26.85
2022,March,3,33.57
2022,February,2,19.03
2022,February,2,6.51
2022,February,2,5.49
2022,February,2,60.47
2022,February,2,44.47
2022,February,2,37.74
2022,February,2,47.5
2022,February,2,37.12
2022,February,2,33.88
2022,February,2,29.41
2022,February,2,27.7
2022,February,2,37.55
2022,February,2,34.82
2022,February,2,33.64
2022,February,2,49.79
2022,February,2,33.91
2022,February,2,2.71
2022,January,1,46.08
2022,January,1,32.58
2022,January,1,28.62
2022,January,1,24.94
2022,January,1,40.32
2021,December,12,36.99
2021,December,12,44.47
2021,December,12,47.5
2021,November,11,14.13
2021,November,11,15.36
2021,November,11,29.63
2021,November,11,16.66
2021,November,11,15.79
2021,November,11,30.75
2021,November,11,2.37
2021,November,11,22.85
2021,November,11,15.57
2021,November,11,25.28
2021,November,11,39.97
2021,November,11,26.65
2021,November,11,34.32
2021,November,11,4.89
2021,November,11,12.7
2021,November,11,13.05
2021,November,11,27.99
2021,November,11,2.0
2021,October,10,53.94
2021,October,10,44.87
2021,October,10,81.5
2021,October,10,48.43
2021,October,10,58.5
2021,October,10,26.66
2021,October,10,36.05
2021,October,10,33.58
2021,September,9,34.44
2021,September,9,204.41
2021,September,9,2.8
2021,September,9,11.87
2021,September,9,11.66
2021,September,9,55.89
2021,September,9,30.83
2021,September,9,78.57
2021,September,9,53.01
2021,September,9,112.7
2021,September,9,3.38
2021,September,9,63.53
2021,September,9,43.76
2021,September,9,31.96
2021,August,8,15.57
2021,August,8,25.38
2021,August,8,55.3
2021,August,8,108.73
2021,August,8,39.88
2021,August,8,49.72
2021,August,8,115.35
2021,August,8,107.65
2021,August,8,40.81
2021,August,8,127.71
2021,July,7,64.1
2021,July,7,47.17
2021,July,7,40.74
2021,July,7,36.08
2021,July,7,313.64
2021,July,7,42.76
2021,July,7,36.39
2021,July,7,73.22
2021,July,7,0.14
2021,July,7,81.37
2021,July,7,88.57
2021,July,7,26.48
2021,July,7,100.88
2021,June,6,118.85
2021,June,6,65.56
2021,June,6,180.27
2021,June,6,43.96
2021,June,6,51.62
2021,June,6,60.32
2021,June,6,62.29
2021,June,6,43.19
2021,June,6,60.84
2021,May,5,27.75
2021,May,5,124.58
2021,May,5,50.24
2021,May,5,37.4
2021,May,5,123.11
2021,May,5,41.32
2021,May,5,79.23
2021,May,5,59.41
2021,May,5,0.0
2021,May,5,107.86
2021,May,5,24.48
2021,May,5,4.49
2021,May,5,38.84
2021,May,5,73.08
2021,April,4,114.6
2021,April,4,34.48
2021,April,4,77.01
2021,April,4,2.0
2021,April,4,50.62
2021,April,4,167.08
2021,April,4,55.4
2021,April,4,30.06
2021,April,4,30.02
